attendance,study,assign,lms,grade
93.75,5.0,62.5,14.875,65
93.75,5.0,62.5,16.875,60
87.5,5.0,57.5,10.75,60
81.25,5.0,60.0,7.625,55
87.5,7.5,75.0,16.75,75
81.25,5.0,55.0,14.625,55
81.25,5.0,45.0,7.625,50
93.75,7.5,50.0,12.875,55
81.25,2.5,67.5,14.625,65
100.0,5.0,62.5,11.0,60
93.75,5.0,67.5,16.875,70
93.75,10.0,57.5,16.875,60
87.5,10.0,65.0,19.75,65
81.25,2.5,50.0,19.625,55
100.0,5.0,62.5,8.0,60
87.5,2.5,62.5,14.75,65
93.75,7.5,62.5,15.875,65
62.5,2.5,45.0,19.25,40
100.0,7.5,80.0,17.0,80
93.75,2.5,62.5,16.875,60
50.0,5.0,52.5,15.0,50
100.0,5.0,80.0,17.0,80
68.75,10.0,50.0,8.375,50
87.5,10.0,50.0,15.75,50
87.5,7.5,67.5,16.75,70
75.0,10.0,55.0,16.5,55
93.75,7.5,75.0,16.875,70
87.5,2.5,67.5,14.75,70
87.5,7.5,55.0,19.75,55
62.5,5.0,45.0,17.25,50
68.75,2.5,87.5,10.375,90
87.5,5.0,47.5,14.75,50
81.25,5.0,75.0,16.625,70
87.5,5.0,77.5,11.75,80
81.25,2.5,70.0,14.625,75
56.25,5.0,57.5,16.125,55
93.75,2.5,67.5,10.875,70
100.0,5.0,70.0,11.0,70
81.25,10.0,67.5,16.625,65
93.75,5.0,65.0,16.875,65
87.5,2.5,62.5,16.75,65
100.0,5.0,57.5,11.0,55
93.75,2.5,45.0,13.875,45
100.0,5.0,52.5,18.0,55
100.0,5.0,47.5,4.0,55
75.0,2.5,70.0,14.5,75
87.5,7.5,62.5,12.75,65
100.0,7.5,52.5,13.0,60
68.75,5.0,47.5,12.375,40
75.0,2.5,52.5,12.5,55
81.25,2.5,57.5,16.625,65
93.75,2.5,62.5,12.875,60
62.5,2.5,70.0,10.25,70
87.5,2.5,45.0,5.75,55
62.5,2.5,60.0,5.25,55
93.75,5.0,57.5,7.875,55
87.5,7.5,67.5,16.75,75
93.75,5.0,47.5,5.875,50
100.0,5.0,67.5,8.0,65
93.75,2.5,55.0,14.875,60
68.75,7.5,57.5,16.375,55
75.0,2.5,57.5,11.5,55
87.5,2.5,45.0,16.75,50
100.0,5.0,50.0,6.0,50
81.25,2.5,67.5,14.625,70
93.75,2.5,42.5,14.875,45
81.25,10.0,50.0,15.625,55
25.0,5.0,42.5,4.5,45
100.0,7.5,70.0,17.0,65
87.5,2.5,57.5,16.75,55
93.75,7.5,65.0,16.875,65
87.5,2.5,52.5,10.75,55
31.25,2.5,40.0,11.625,30
100.0,5.0,60.0,13.0,60
100.0,2.5,52.5,13.0,50
93.75,5.0,55.0,12.875,55
81.25,5.0,62.5,12.625,65
81.25,5.0,55.0,5.625,55
50.0,2.5,45.0,8.0,40
100.0,2.5,57.5,11.0,55
100.0,2.5,50.0,7.0,0
81.25,2.5,47.5,9.625,50
93.75,7.5,65.0,16.875,65
81.25,2.5,50.0,8.625,55
100.0,2.5,65.0,11.0,65
100.0,5.0,37.5,13.0,40
56.25,2.5,42.5,5.125,50
81.25,2.5,52.5,11.625,55
87.5,2.5,55.0,5.75,55
100.0,5.0,50.0,13.0,5
100.0,2.5,42.5,11.0,50
75.0,2.5,40.0,10.5,45
87.5,5.0,32.5,15.75,40
93.75,2.5,42.5,9.875,50
93.75,2.5,42.5,6.875,40
100.0,5.0,40.0,6.0,40
68.75,2.5,37.5,7.375,40
100.0,5.0,47.5,7.0,55
100.0,5.0,85.0,11.0,90
100.0,5.0,60.0,13.0,65
100.0,5.0,80.0,13.0,85
87.5,2.5,45.0,16.75,50
100.0,5.0,82.5,17.0,90
100.0,5.0,50.0,17.0,50
100.0,5.0,67.5,15.0,65
100.0,5.0,70.0,17.0,75
100.0,5.0,52.5,15.0,55
100.0,5.0,62.5,15.0,70
87.5,5.0,50.0,14.75,50
75.0,2.5,47.5,16.5,55
87.5,5.0,55.0,16.75,65
87.5,5.0,52.5,16.75,55
100.0,5.0,57.5,15.0,65
100.0,5.0,87.5,12.0,85
0.0,5.0,67.5,15.0,70
75.0,5.0,72.5,12.5,80
81.25,5.0,60.0,16.625,70
100.0,2.5,47.5,17.0,55
100.0,5.0,67.5,15.0,80
68.75,5.0,62.5,12.375,70
81.25,5.0,45.0,5.625,50
81.25,5.0,60.0,10.625,65
100.0,5.0,57.5,15.0,60
50.0,5.0,52.5,14.0,60
100.0,2.5,52.5,17.0,50
100.0,2.5,62.5,11.0,60
75.0,5.0,72.5,14.5,80
87.5,2.5,65.0,10.75,70
50.0,2.5,52.5,16.0,60
6.25,2.5,72.5,11.125,80
100.0,5.0,52.5,13.0,55
93.75,5.0,70.0,16.875,75
87.5,5.0,57.5,14.75,60
100.0,5.0,72.5,8.0,75
34.375,2.5,65.0,11.6875,65
81.25,10.0,65.0,16.625,65
56.25,7.5,42.5,12.125,40
93.75,5.0,55.0,12.875,60
87.5,5.0,72.5,14.75,75
93.75,2.5,62.5,7.875,65
100.0,7.5,57.5,17.0,60
87.5,10.0,60.0,16.75,60
53.125,5.0,62.5,12.0625,60
100.0,5.0,65.0,16.0,65
68.75,5.0,57.5,16.375,55
81.25,2.5,57.5,7.625,55
93.75,5.0,75.0,10.875,75
50.0,5.0,50.0,10.0,50
68.75,5.0,50.0,12.375,50
87.5,2.5,62.5,7.75,65
100.0,7.5,60.0,17.0,65
100.0,5.0,52.5,17.0,55
62.5,7.5,60.0,11.25,60
100.0,5.0,65.0,14.0,70
71.875,5.0,47.5,12.4375,50
87.5,7.5,77.5,16.75,80
87.5,5.0,40.0,14.75,40
93.75,5.0,87.5,14.875,85
100.0,5.0,52.5,13.0,55
93.75,5.0,47.5,19.875,55
100.0,7.5,75.0,15.0,80
100.0,5.0,65.0,15.0,60
100.0,5.0,62.5,17.0,65
100.0,5.0,65.0,20.0,65
100.0,5.0,65.0,17.0,70
93.75,5.0,45.0,12.875,45
100.0,7.5,60.0,15.0,60
100.0,5.0,80.0,15.0,80
87.5,2.5,47.5,10.75,50
100.0,5.0,67.5,15.0,65
43.75,5.0,50.0,11.875,50
50.0,5.0,42.5,12.0,50
56.25,2.5,37.5,6.125,35
18.75,2.5,37.5,11.375,40
81.25,2.5,45.0,16.625,45
87.5,5.0,70.0,9.75,75
68.75,7.5,52.5,16.375,50
87.5,2.5,57.5,6.75,55
93.75,5.0,65.0,9.875,65
56.25,2.5,45.0,12.125,40
50.0,5.0,37.5,6.0,40
75.0,2.5,50.0,8.5,50
87.5,7.5,72.5,14.75,75
87.5,5.0,72.5,11.75,70
75.0,5.0,75.0,14.5,75
100.0,5.0,60.0,13.0,60
78.125,2.5,70.0,14.5625,75
87.5,2.5,72.5,14.75,75
93.75,5.0,55.0,12.875,60
93.75,7.5,67.5,10.875,75
68.75,7.5,55.0,12.375,55
68.75,5.0,47.5,8.375,50
68.75,7.5,55.0,12.375,55
78.125,2.5,77.5,10.5625,80
87.5,5.0,52.5,7.75,55
93.75,2.5,52.5,10.875,65
62.5,2.5,37.5,6.25,25
75.0,5.0,47.5,12.5,50
100.0,2.5,57.5,11.0,55
75.0,2.5,37.5,6.5,35
87.5,5.0,50.0,15.75,50
87.5,2.5,37.5,6.75,30
93.75,2.5,67.5,9.875,60
100.0,2.5,60.0,11.0,65
100.0,2.5,47.5,17.0,50
93.75,5.0,60.0,12.875,65
93.75,10.0,72.5,16.875,85
100.0,5.0,50.0,13.0,55
87.5,5.0,52.5,10.75,55
93.75,7.5,57.5,16.875,70
87.5,7.5,57.5,7.75,70
87.5,5.0,55.0,8.75,65
87.5,5.0,60.0,12.75,70
93.75,5.0,80.0,14.875,80
100.0,2.5,47.5,2.0,50
93.75,10.0,52.5,14.875,60
75.0,5.0,55.0,12.5,60
93.75,5.0,75.0,12.875,75
93.75,5.0,50.0,12.875,55
93.75,7.5,52.5,9.875,60
93.75,7.5,67.5,9.875,65
100.0,7.5,57.5,17.0,65
75.0,2.5,40.0,6.5,45
81.25,5.0,77.5,16.625,80
100.0,5.0,55.0,15.0,70
75.0,5.0,52.5,14.5,60
87.5,5.0,55.0,16.75,70
62.5,5.0,42.5,8.25,50
50.0,5.0,57.5,16.0,60
68.75,10.0,80.0,16.375,80
93.75,5.0,65.0,7.875,65
93.75,5.0,82.5,11.875,90
75.0,5.0,70.0,12.5,75
81.25,5.0,77.5,12.625,80
81.25,5.0,60.0,15.625,60
53.125,5.0,52.5,6.0625,50
81.25,2.5,57.5,14.625,60
93.75,5.0,65.0,19.875,65
75.0,7.5,70.0,12.5,75
100.0,5.0,42.5,12.0,50
100.0,2.5,50.0,15.0,50
68.75,2.5,50.0,6.375,55
31.25,2.5,55.0,13.625,50
43.75,2.5,65.0,9.875,65
93.75,10.0,85.0,11.875,90
100.0,5.0,62.5,18.0,65
62.5,5.0,60.0,12.25,70
68.75,5.0,62.5,14.375,70
100.0,5.0,60.0,11.0,60
100.0,7.5,90.0,13.0,90
100.0,7.5,65.0,13.0,70
100.0,7.5,72.5,15.0,75
100.0,5.0,85.0,17.0,85
93.75,5.0,77.5,16.875,80
100.0,7.5,87.5,13.0,90
100.0,10.0,92.5,8.0,95
100.0,7.5,72.5,17.0,75
100.0,2.5,72.5,13.0,75
93.75,5.0,67.5,16.875,65
100.0,5.0,67.5,13.0,70
100.0,10.0,82.5,13.0,85
100.0,2.5,90.0,13.0,85
100.0,5.0,72.5,13.0,75
100.0,2.5,62.5,11.0,65
100.0,7.5,35.0,17.0,40
100.0,7.5,80.0,13.0,80
100.0,10.0,90.0,17.0,90
100.0,7.5,47.5,15.0,55
100.0,2.5,72.5,10.0,75
100.0,5.0,50.0,10.0,55
93.75,5.0,50.0,10.875,55
93.75,5.0,60.0,16.875,75
93.75,5.0,57.5,14.875,70
93.75,2.5,77.5,14.875,85
93.75,7.5,72.5,16.875,85
75.0,2.5,60.0,12.5,75
93.75,7.5,75.0,16.875,85
75.0,5.0,57.5,12.5,70
71.875,5.0,52.5,16.4375,50
100.0,5.0,57.5,13.0,65
87.5,2.5,57.5,16.75,70
93.75,2.5,72.5,14.875,85
56.25,5.0,72.5,12.125,85
100.0,5.0,60.0,16.0,65
93.75,5.0,57.5,14.875,70
93.75,2.5,42.5,12.875,55
62.5,7.5,50.0,5.25,55
93.75,5.0,40.0,12.875,45
93.75,2.5,50.0,16.875,50
87.5,5.0,67.5,7.75,65
100.0,7.5,55.0,17.0,50
100.0,7.5,87.5,13.0,85
100.0,7.5,70.0,11.0,75
100.0,7.5,70.0,15.0,70
100.0,7.5,67.5,15.0,65
100.0,2.5,87.5,15.0,85
93.75,2.5,52.5,12.875,50
100.0,7.5,62.5,17.0,65
87.5,7.5,72.5,12.75,75
93.75,2.5,57.5,16.875,55
100.0,10.0,55.0,17.0,60
100.0,2.5,52.5,8.0,50
93.75,5.0,47.5,9.875,50
100.0,7.5,75.0,13.0,75
81.25,2.5,72.5,10.625,75
75.0,5.0,52.5,14.5,60
100.0,5.0,47.5,15.0,60
81.25,10.0,67.5,9.625,70
75.0,7.5,60.0,10.5,70
100.0,5.0,62.5,13.0,75
87.5,10.0,70.0,12.75,75
100.0,5.0,70.0,13.0,80
100.0,5.0,60.0,17.0,65
81.25,5.0,80.0,14.625,85
43.75,5.0,55.0,11.875,70
100.0,7.5,57.5,13.0,70
87.5,7.5,75.0,10.75,85
87.5,7.5,72.5,10.75,85
100.0,7.5,67.5,13.0,70
100.0,7.5,57.5,17.0,65
68.75,5.0,67.5,16.375,75
87.5,5.0,70.0,16.75,80
50.0,2.5,52.5,6.0,55
81.25,2.5,57.5,12.625,65
100.0,7.5,52.5,15.0,60
65.625,5.0,50.0,12.3125,60
71.875,5.0,67.5,14.4375,75
100.0,5.0,75.0,17.0,85
93.75,7.5,67.5,12.875,75
100.0,5.0,77.5,17.0,85
34.375,5.0,47.5,11.6875,50
75.0,7.5,65.0,10.5,75
84.375,2.5,47.5,12.6875,55
68.75,5.0,85.0,12.375,90
84.375,7.5,77.5,12.6875,85
59.375,2.5,67.5,10.1875,70
68.75,2.5,45.0,10.375,55
68.75,5.0,77.5,12.375,85
84.375,2.5,45.0,13.6875,50
87.5,5.0,57.5,16.75,65
65.625,2.5,52.5,8.3125,55
100.0,5.0,60.0,17.0,60
81.25,2.5,50.0,7.625,50
87.5,2.5,50.0,12.75,55
100.0,5.0,82.5,6.0,85
100.0,2.5,35.0,2.0,45
84.375,5.0,52.5,7.6875,55
100.0,7.5,52.5,14.0,55
100.0,5.0,50.0,6.0,50
100.0,2.5,30.0,9.0,35
100.0,2.5,67.5,11.0,70
87.5,10.0,47.5,5.75,55
100.0,5.0,50.0,13.0,50
87.5,2.5,32.5,12.75,40
100.0,2.5,57.5,12.0,60
93.75,2.5,52.5,12.875,60
100.0,2.5,75.0,11.0,80
100.0,5.0,17.5,12.0,0
87.5,5.0,42.5,10.75,45
100.0,5.0,62.5,17.0,70
78.125,5.0,40.0,16.5625,40
87.5,5.0,47.5,5.75,55
75.0,5.0,40.0,11.5,45
100.0,5.0,55.0,17.0,55
75.0,2.5,45.0,5.5,45
81.25,7.5,80.0,14.625,85
90.625,2.5,60.0,5.8125,65
93.75,5.0,75.0,12.875,75
100.0,5.0,52.5,6.0,55
87.5,5.0,47.5,12.75,55
100.0,7.5,45.0,8.0,40
90.625,7.5,42.5,7.8125,40
100.0,5.0,47.5,16.0,45
100.0,5.0,67.5,8.0,75
87.5,2.5,52.5,16.75,55
100.0,10.0,57.5,13.0,65
93.75,7.5,47.5,10.875,50
96.875,5.0,52.5,16.9375,55
100.0,2.5,62.5,15.0,70
100.0,5.0,67.5,8.0,70
93.75,7.5,62.5,10.875,60
81.25,2.5,55.0,9.625,55
71.875,5.0,42.5,16.4375,40
100.0,2.5,47.5,8.0,55
96.875,5.0,67.5,16.9375,70
96.875,2.5,62.5,5.9375,65
100.0,5.0,62.5,12.0,65
87.5,5.0,62.5,12.75,60
93.75,5.0,57.5,11.875,60
100.0,2.5,70.0,12.0,80
87.5,2.5,45.0,16.75,50
93.75,2.5,52.5,16.875,55
100.0,7.5,62.5,12.0,70
93.75,2.5,45.0,12.875,40
65.625,2.5,55.0,16.3125,55
100.0,5.0,35.0,11.0,40
87.5,2.5,45.0,7.75,50
100.0,2.5,45.0,7.0,50
93.75,2.5,47.5,7.875,55
100.0,2.5,47.5,4.0,45
96.875,5.0,47.5,8.9375,55
81.25,2.5,35.0,3.625,40
100.0,5.0,52.5,13.0,55
96.875,2.5,47.5,16.9375,50
81.25,7.5,40.0,3.625,50
81.25,7.5,40.0,5.625,45
100.0,2.5,42.5,11.0,50
87.5,2.5,50.0,6.75,50
62.5,5.0,37.5,12.25,45
93.75,5.0,45.0,5.875,50
84.375,2.5,45.0,9.6875,50
100.0,5.0,42.5,11.0,45
100.0,2.5,67.5,11.0,65
93.75,2.5,70.0,16.875,70
100.0,10.0,52.5,12.0,50
100.0,5.0,67.5,17.0,70
100.0,2.5,82.5,12.0,80
62.5,2.5,32.5,12.25,35
75.0,2.5,65.0,14.5,65
93.75,10.0,45.0,7.875,45
100.0,10.0,70.0,20.0,70
100.0,7.5,62.5,11.0,65
100.0,2.5,55.0,17.0,55
75.0,5.0,50.0,14.5,50
100.0,7.5,55.0,8.0,50
100.0,2.5,47.5,13.0,45
100.0,5.0,82.5,8.0,90
100.0,5.0,80.0,12.0,85
96.875,5.0,50.0,10.9375,50
71.875,5.0,35.0,12.4375,35
100.0,2.5,35.0,15.0,40
93.75,2.5,32.5,10.875,35
75.0,5.0,42.5,8.5,50
100.0,5.0,75.0,15.0,80
100.0,2.5,70.0,15.0,75
75.0,5.0,32.5,12.5,40
100.0,5.0,37.5,15.0,0
81.25,5.0,35.0,12.625,40
100.0,5.0,45.0,17.0,50
87.5,5.0,40.0,12.75,40
93.75,10.0,27.5,12.875,30
93.75,5.0,40.0,7.875,40
100.0,7.5,72.5,13.0,80
96.875,2.5,67.5,10.9375,70
100.0,7.5,47.5,6.0,50
84.375,2.5,45.0,12.6875,45
96.875,2.5,55.0,7.9375,55
75.0,2.5,42.5,16.5,45
100.0,5.0,50.0,11.0,50
93.75,5.0,40.0,10.875,40
100.0,5.0,72.5,11.0,80
100.0,2.5,57.5,13.0,60
65.625,5.0,50.0,11.3125,50
75.0,10.0,67.5,11.5,70
65.625,2.5,62.5,14.3125,60
93.75,7.5,55.0,7.875,55
75.0,5.0,47.5,16.5,50
84.375,2.5,50.0,5.6875,55
100.0,5.0,50.0,9.0,55
96.875,7.5,52.5,12.9375,60
93.75,2.5,45.0,14.875,40
93.75,2.5,57.5,9.875,60
75.0,5.0,42.5,16.5,40
100.0,5.0,70.0,13.0,80
100.0,2.5,52.5,11.0,55
93.75,5.0,52.5,14.875,55
100.0,5.0,87.5,16.0,90
100.0,5.0,62.5,13.0,65
100.0,5.0,67.5,13.0,65
93.75,5.0,45.0,12.875,50
87.5,2.5,55.0,5.75,60
90.625,2.5,52.5,12.8125,50
84.375,7.5,67.5,15.6875,65
87.5,2.5,47.5,5.75,55
93.75,5.0,40.0,16.875,50
100.0,2.5,52.5,6.0,50
100.0,2.5,60.0,11.0,65
100.0,2.5,47.5,17.0,50
81.25,5.0,47.5,11.625,50
100.0,5.0,60.0,10.0,60
100.0,2.5,17.5,10.0,0
93.75,2.5,50.0,10.875,50
100.0,2.5,50.0,15.0,45
93.75,2.5,40.0,8.875,45
100.0,2.5,10.0,7.0,0
87.5,2.5,42.5,9.75,45
71.875,5.0,30.0,12.4375,40
81.25,2.5,37.5,16.625,40
87.5,2.5,42.5,10.75,45
75.0,5.0,25.0,11.5,35
71.875,2.5,40.0,11.4375,50
62.5,2.5,47.5,8.25,50
75.0,2.5,52.5,12.5,50
75.0,2.5,47.5,12.5,55
75.0,5.0,47.5,10.5,55
87.5,5.0,42.5,12.75,50
100.0,2.5,47.5,7.0,45
87.5,2.5,42.5,12.75,50
93.75,5.0,35.0,7.875,40
100.0,2.5,35.0,4.0,35
100.0,2.5,35.0,7.0,0
100.0,2.5,52.5,13.0,55
84.375,7.5,37.5,3.6875,40
100.0,5.0,40.0,20.0,0
90.625,5.0,32.5,16.8125,40
100.0,2.5,45.0,8.0,45
100.0,2.5,42.5,11.0,50
90.625,5.0,37.5,9.8125,35
93.75,5.0,62.5,14.875,70
100.0,2.5,57.5,13.0,65
100.0,5.0,62.5,11.0,70
100.0,5.0,90.0,15.0,90
90.625,2.5,85.0,16.8125,85
100.0,5.0,87.5,13.0,90
100.0,5.0,22.5,10.0,0
75.0,2.5,52.5,7.5,55
84.375,2.5,62.5,16.6875,70
87.5,2.5,62.5,1.75,70
87.5,5.0,40.0,12.75,50
100.0,7.5,57.5,11.0,65
100.0,5.0,12.5,15.0,0
93.75,5.0,47.5,1.875,50
100.0,2.5,12.5,2.0,0
100.0,10.0,90.0,11.0,90
84.375,5.0,55.0,14.6875,60
93.75,5.0,45.0,5.875,55
100.0,5.0,55.0,4.0,60
100.0,5.0,20.0,8.0,0
84.375,7.5,70.0,10.6875,75
87.5,5.0,52.5,16.75,55
100.0,5.0,50.0,8.0,50
93.75,5.0,60.0,16.875,60
100.0,5.0,72.5,6.0,75
93.75,2.5,67.5,10.875,70
100.0,7.5,90.0,11.0,90
100.0,5.0,77.5,6.0,75
81.25,5.0,62.5,12.625,65
87.5,5.0,72.5,16.75,75
100.0,5.0,65.0,6.0,65
100.0,5.0,45.0,8.0,45
100.0,7.5,77.5,11.0,80
100.0,2.5,40.0,13.0,45
100.0,2.5,50.0,13.0,50
100.0,5.0,30.0,13.0,0
90.625,2.5,47.5,12.8125,50
75.0,7.5,52.5,9.5,60
87.5,2.5,37.5,14.75,45
100.0,7.5,80.0,11.0,85
87.5,7.5,52.5,10.75,60
87.5,5.0,37.5,12.75,45
96.875,5.0,67.5,14.9375,70
96.875,5.0,80.0,10.9375,80
68.75,5.0,42.5,16.375,45
87.5,5.0,87.5,14.75,95
100.0,2.5,35.0,15.0,0
87.5,5.0,72.5,14.75,80
100.0,2.5,32.5,6.0,0
100.0,2.5,35.0,6.0,0
100.0,7.5,77.5,6.0,75
100.0,5.0,37.5,11.0,55
87.5,2.5,40.0,16.75,50
87.5,7.5,52.5,14.75,50
87.5,5.0,75.0,12.75,80
81.25,5.0,57.5,9.625,45
81.25,2.5,50.0,10.625,50
87.5,2.5,52.5,10.75,55
